icd10_code,description,code_family,chapter,chronic,specificity,hcc_v28_code,hcc_v28_label
C50.019,"Malignant neoplasm of nipple and areola, unspecified female breast",C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.021,"Malignant neoplasm of nipple and areola, right male breast",C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.022,"Malignant neoplasm of nipple and areola, left male breast",C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.029,"Malignant neoplasm of nipple and areola, unspecified male breast",C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.111,Malignant neoplasm of central portion of right female breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.112,Malignant neoplasm of central portion of left female breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.119,Malignant neoplasm of central portion of unspecified female breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.121,Malignant neoplasm of central portion of right male breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.122,Malignant neoplasm of central portion of left male breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.129,Malignant neoplasm of central portion of unspecified male breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.211,Malignant neoplasm of upper-inner quadrant of right female breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.212,Malignant neoplasm of upper-inner quadrant of left female breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.219,Malignant neoplasm of upper-inner quadrant of unspecified female breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.221,Malignant neoplasm of upper-inner quadrant of right male breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.222,Malignant neoplasm of upper-inner quadrant of left male breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.229,Malignant neoplasm of upper-inner quadrant of unspecified male breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.311,Malignant neoplasm of lower-inner quadrant of right female breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.312,Malignant neoplasm of lower-inner quadrant of left female breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.321,Malignant neoplasm of lower-inner quadrant of right male breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.422,Malignant neoplasm of upper-outer quadrant of left male breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.429,Malignant neoplasm of upper-outer quadrant of unspecified male breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.511,Malignant neoplasm of lower-outer quadrant of right female breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.519,Malignant neoplasm of lower-outer quadrant of unspecified female breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.522,Malignant neoplasm of lower-outer quadrant of left male breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.622,Malignant neoplasm of axillary tail of left male breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.629,Malignant neoplasm of axillary tail of unspecified male breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.812,Malignant neoplasm of overlapping sites of left female breast,C50,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.819,Malignant neoplasm of overlapping sites of unspecified female breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.911,Malignant neoplasm of unspecified site of right female breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.912,Malignant neoplasm of unspecified site of left female breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.919,Malignant neoplasm of unspecified site of unspecified female breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C50.A0,Malignant inflammatory neoplasm of unspecified breast,C50,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C61,Malignant neoplasm of prostate,C61,Neoplasms,true,specified,22,"Prostate, Testis and Other Cancers"
C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis",C64,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C71.2,Malignant neoplasm of temporal lobe,C71,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C71.3,Malignant neoplasm of parietal lobe,C71,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C71.6,Malignant neoplasm of cerebellum,C71,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C71.7,Malignant neoplasm of brain stem,C71,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C71.8,Malignant neoplasm of overlapping sites of brain,C71,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C71.9,"Malignant neoplasm of brain, unspecified",C71,Neoplasms,true,unspecified,18,"Pancreas, Brain and Other Severe Cancers"
C77.0,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",C77,Neoplasms,true,unspecified,17,Metastatic Cancer
C77.2,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,C77,Neoplasms,true,unspecified,17,Metastatic Cancer
C77.3,Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes,C77,Neoplasms,true,unspecified,17,Metastatic Cancer
C77.5,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,C77,Neoplasms,true,unspecified,17,Metastatic Cancer
C77.8,Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions,C77,Neoplasms,true,unspecified,17,Metastatic Cancer
C78.00,Secondary malignant neoplasm of unspecified lung,C78,Neoplasms,true,unspecified,17,Metastatic Cancer
C78.2,Secondary malignant neoplasm of pleura,C78,Neoplasms,true,specified,17,Metastatic Cancer
C78.39,Secondary malignant neoplasm of other respiratory organs,C78,Neoplasms,true,specified,17,Metastatic Cancer
C78.4,Secondary malignant neoplasm of small intestine,C78,Neoplasms,true,specified,17,Metastatic Cancer
C78.5,Secondary malignant neoplasm of large intestine and rectum,C78,Neoplasms,true,specified,17,Metastatic Cancer
C78.7,Secondary malignant neoplasm of liver and intrahepatic bile duct,C78,Neoplasms,true,specified,17,Metastatic Cancer
C78.80,Secondary malignant neoplasm of unspecified digestive organ,C78,Neoplasms,true,unspecified,17,Metastatic Cancer
C78.89,Secondary malignant neoplasm of other digestive organs,C78,Neoplasms,true,specified,17,Metastatic Cancer
