icd10_code,description,code_family,chapter,chronic,specificity,hcc_v28_code,hcc_v28_label
E78.3,Hyperchylomicronemia,E78,"Endocrine, nutritional and metabolic diseases",false,specified,,
E78.41,Elevated Lipoprotein(a),E78,"Endocrine, nutritional and metabolic diseases",false,specified,,
E78.49,Other hyperlipidemia,E78,"Endocrine, nutritional and metabolic diseases",false,specified,,
E78.5,"Hyperlipidemia, unspecified",E78,"Endocrine, nutritional and metabolic diseases",false,unspecified,,
E78.6,Lipoprotein deficiency,E78,"Endocrine, nutritional and metabolic diseases",false,specified,,
E78.71,Barth syndrome,E78,"Endocrine, nutritional and metabolic diseases",false,specified,,
E78.72,Smith-Lemli-Opitz syndrome,E78,"Endocrine, nutritional and metabolic diseases",false,specified,,
E78.79,Other disorders of bile acid and cholesterol metabolism,E78,"Endocrine, nutritional and metabolic diseases",false,specified,,
E78.81,Lipoid dermatoarthritis,E78,"Endocrine, nutritional and metabolic diseases",false,specified,,
F01.511,"Vascular dementia, unspecified severity, with agitation",F01,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,125,"Dementia, Moderate"
F01.54,"Vascular dementia, unspecified severity, with anxiety",F01,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,125,"Dementia, Moderate"
F02.818,"Dementia in other diseases classified elsewhere, unspecified severity, with other behavioral disturbance",F02,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,125,"Dementia, Moderate"
F02.83,"Dementia in other diseases classified elsewhere, unspecified severity, with mood disturbance",F02,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,125,"Dementia, Moderate"
F02.A0,"Dementia in other diseases classified elsewhere, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F02,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,125,"Dementia, Moderate"
F02.B18,"Dementia in other diseases classified elsewhere, moderate, with other behavioral disturbance",F02,"Mental, behavioral and neurodevelopmental disorders",true,specified,125,"Dementia, Moderate"
F02.B2,"Dementia in other diseases classified elsewhere, moderate, with psychotic disturbance",F02,"Mental, behavioral and neurodevelopmental disorders",true,specified,125,"Dementia, Moderate"
F02.C11,"Dementia in other diseases classified elsewhere, severe, with agitation",F02,"Mental, behavioral and neurodevelopmental disorders",true,specified,125,"Dementia, Moderate"
F02.C18,"Dementia in other diseases classified elsewhere, severe, with other behavioral disturbance",F02,"Mental, behavioral and neurodevelopmental disorders",true,specified,125,"Dementia, Moderate"
F02.C2,"Dementia in other diseases classified elsewhere, severe, with psychotic disturbance",F02,"Mental, behavioral and neurodevelopmental disorders",true,specified,125,"Dementia, Moderate"
F02.C3,"Dementia in other diseases classified elsewhere, severe, with mood disturbance",F02,"Mental, behavioral and neurodevelopmental disorders",true,specified,125,"Dementia, Moderate"
F02.C4,"Dementia in other diseases classified elsewhere, severe, with anxiety",F02,"Mental, behavioral and neurodevelopmental disorders",true,specified,125,"Dementia, Moderate"
F03.918,"Unspecified dementia, unspecified severity, with other behavioral disturbance",F03,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,126,"Dementia, Mild or Unspecified"
F03.92,"Unspecified dementia, unspecified severity, with psychotic disturbance",F03,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,126,"Dementia, Mild or Unspecified"
F03.A2,"Unspecified dementia, mild, with psychotic disturbance",F03,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,126,"Dementia, Mild or Unspecified"
F03.A3,"Unspecified dementia, mild, with mood disturbance",F03,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,126,"Dementia, Mild or Unspecified"
F03.A4,"Unspecified dementia, mild, with anxiety",F03,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,126,"Dementia, Mild or Unspecified"
F03.B0,"Unspecified dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F03,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,126,"Dementia, Mild or Unspecified"
F03.B3,"Unspecified dementia, moderate, with mood disturbance",F03,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,126,"Dementia, Mild or Unspecified"
F03.C11,"Unspecified dementia, severe, with agitation",F03,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,126,"Dementia, Mild or Unspecified"
F03.C18,"Unspecified dementia, severe, with other behavioral disturbance",F03,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,126,"Dementia, Mild or Unspecified"
F10.129,"Alcohol abuse with intoxication, unspecified",F10,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.130,"Alcohol abuse with withdrawal, uncomplicated",F10,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.150,Alcohol abuse with alcohol-induced psychotic disorder with delusions,F10,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.151,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,F10,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.20,"Alcohol dependence, uncomplicated",F10,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.229,"Alcohol dependence with intoxication, unspecified",F10,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.239,"Alcohol dependence with withdrawal, unspecified",F10,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.250,Alcohol dependence with alcohol-induced psychotic disorder with delusions,F10,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.282,Alcohol dependence with alcohol-induced sleep disorder,F10,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.929,"Alcohol use, unspecified with intoxication, unspecified",F10,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.930,"Alcohol use, unspecified with withdrawal, uncomplicated",F10,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.94,"Alcohol use, unspecified with alcohol-induced mood disorder",F10,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.96,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder",F10,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F10.97,"Alcohol use, unspecified with alcohol-induced persisting dementia",F10,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F11.11,"Opioid abuse, in remission",F11,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F11.122,Opioid abuse with intoxication with perceptual disturbance,F11,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F11.150,Opioid abuse with opioid-induced psychotic disorder with delusions,F11,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F11.181,Opioid abuse with opioid-induced sexual dysfunction,F11,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F11.19,Opioid abuse with unspecified opioid-induced disorder,F11,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F11.20,"Opioid dependence, uncomplicated",F11,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F11.23,Opioid dependence with withdrawal,F11,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F11.259,"Opioid dependence with opioid-induced psychotic disorder, unspecified",F11,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F11.288,Opioid dependence with other opioid-induced disorder,F11,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F11.94,"Opioid use, unspecified with opioid-induced mood disorder",F11,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F11.982,"Opioid use, unspecified with opioid-induced sleep disorder",F11,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.11,"Cocaine abuse, in remission",F14,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.122,Cocaine abuse with intoxication with perceptual disturbance,F14,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.14,Cocaine abuse with cocaine-induced mood disorder,F14,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.150,Cocaine abuse with cocaine-induced psychotic disorder with delusions,F14,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.181,Cocaine abuse with cocaine-induced sexual dysfunction,F14,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.221,Cocaine dependence with intoxication delirium,F14,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.23,Cocaine dependence with withdrawal,F14,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.250,Cocaine dependence with cocaine-induced psychotic disorder with delusions,F14,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.251,Cocaine dependence with cocaine-induced psychotic disorder with hallucinations,F14,"Mental, behavioral and neurodevelopmental disorders",true,specified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.920,"Cocaine use, unspecified with intoxication, uncomplicated",F14,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.93,"Cocaine use, unspecified with withdrawal",F14,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.94,"Cocaine use, unspecified with cocaine-induced mood disorder",F14,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F14.982,"Cocaine use, unspecified with cocaine-induced sleep disorder",F14,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,139,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
F20.2,Catatonic schizophrenia,F20,"Mental, behavioral and neurodevelopmental disorders",true,specified,151,Schizophrenia
F20.3,Undifferentiated schizophrenia,F20,"Mental, behavioral and neurodevelopmental disorders",true,specified,151,Schizophrenia
F20.81,Schizophreniform disorder,F20,"Mental, behavioral and neurodevelopmental disorders",true,specified,151,Schizophrenia
F20.9,"Schizophrenia, unspecified",F20,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,151,Schizophrenia
F25.0,"Schizoaffective disorder, bipolar type",F25,"Mental, behavioral and neurodevelopmental disorders",true,specified,151,Schizophrenia
F25.8,Other schizoaffective disorders,F25,"Mental, behavioral and neurodevelopmental disorders",true,specified,151,Schizophrenia
F25.9,"Schizoaffective disorder, unspecified",F25,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,151,Schizophrenia
F30.11,"Manic episode without psychotic symptoms, mild",F30,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,152,Psychosis or Bipolar Disorder
F30.12,"Manic episode without psychotic symptoms, moderate",F30,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,152,Psychosis or Bipolar Disorder
F30.2,"Manic episode, severe with psychotic symptoms",F30,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F30.8,Other manic episodes,F30,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F30.9,"Manic episode, unspecified",F30,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,152,Psychosis or Bipolar Disorder
F31.0,"Bipolar disorder, current episode hypomanic",F31,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F31.13,"Bipolar disorder, current episode manic without psychotic features, severe",F31,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,152,Psychosis or Bipolar Disorder
F31.2,"Bipolar disorder, current episode manic severe with psychotic features",F31,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F31.30,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified",F31,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,152,Psychosis or Bipolar Disorder
F31.31,"Bipolar disorder, current episode depressed, mild",F31,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F31.32,"Bipolar disorder, current episode depressed, moderate",F31,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F31.5,"Bipolar disorder, current episode depressed, severe, with psychotic features",F31,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F31.60,"Bipolar disorder, current episode mixed, unspecified",F31,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,152,Psychosis or Bipolar Disorder
F31.63,"Bipolar disorder, current episode mixed, severe, without psychotic features",F31,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,152,Psychosis or Bipolar Disorder
F31.70,"Bipolar disorder, currently in remission, most recent episode unspecified",F31,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,152,Psychosis or Bipolar Disorder
F31.72,"Bipolar disorder, in full remission, most recent episode hypomanic",F31,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F31.74,"Bipolar disorder, in full remission, most recent episode manic",F31,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F31.75,"Bipolar disorder, in partial remission, most recent episode depressed",F31,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F31.81,Bipolar II disorder,F31,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F31.89,Other bipolar disorder,F31,"Mental, behavioral and neurodevelopmental disorders",true,specified,152,Psychosis or Bipolar Disorder
F31.9,"Bipolar disorder, unspecified",F31,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,152,Psychosis or Bipolar Disorder
F32.2,"Major depressive disorder, single episode, severe without psychotic features",F32,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,155,"Major Depression, Moderate or Specified Persistent"
F32.9,"Major depressive disorder, single episode, unspecified",F32,"Mental, behavioral and neurodevelopmental disorders",false,unspecified,,
F33.2,"Major depressive disorder, recurrent severe without psychotic features",F33,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,155,"Major Depression, Moderate or Specified Persistent"
F33.3,"Major depressive disorder, recurrent, severe with psychotic symptoms",F33,"Mental, behavioral and neurodevelopmental disorders",true,specified,155,"Major Depression, Moderate or Specified Persistent"
F33.9,"Major depressive disorder, recurrent, unspecified",F33,"Mental, behavioral and neurodevelopmental disorders",false,unspecified,,
F41.9,"Anxiety disorder, unspecified",F41,"Mental, behavioral and neurodevelopmental disorders",true,unspecified,,
G20.A1,"Parkinson's disease without dyskinesia, without mention of fluctuations",G20,Diseases of the nervous system,true,unspecified,180,Parkinson and Other Degenerative Disease of Basal Ganglia
G20.A2,"Parkinson's disease without dyskinesia, with fluctuations",G20,Diseases of the nervous system,true,unspecified,180,Parkinson and Other Degenerative Disease of Basal Ganglia
G30.1,Alzheimer's disease with late onset,G30,Diseases of the nervous system,true,specified,125,"Dementia, Moderate"
G30.9,"Alzheimer's disease, unspecified",G30,Diseases of the nervous system,true,unspecified,125,"Dementia, Moderate"
G35.B0,"Primary progressive multiple sclerosis, unspecified",G35,Diseases of the nervous system,true,unspecified,196,Multiple Sclerosis
G35.B2,Non-active primary progressive multiple sclerosis,G35,Diseases of the nervous system,true,specified,196,Multiple Sclerosis
G35.C2,Non-active secondary progressive multiple sclerosis,G35,Diseases of the nervous system,true,specified,196,Multiple Sclerosis
G40.001,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus",G40,Diseases of the nervous system,true,specified,201,Seizure Disorders and Convulsions
G40.009,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.011,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, with status epilepticus",G40,Diseases of the nervous system,true,specified,201,Seizure Disorders and Convulsions
G40.019,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.201,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus",G40,Diseases of the nervous system,true,specified,201,Seizure Disorders and Convulsions
G40.209,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.211,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus",G40,Diseases of the nervous system,true,specified,201,Seizure Disorders and Convulsions
G40.219,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.401,"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus",G40,Diseases of the nervous system,true,specified,201,Seizure Disorders and Convulsions
G40.409,"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.419,"Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.42,Cyclin-Dependent Kinase-Like 5 Deficiency Disorder,G40,Diseases of the nervous system,true,specified,201,Seizure Disorders and Convulsions
G40.501,"Epileptic seizures related to external causes, not intractable, with status epilepticus",G40,Diseases of the nervous system,true,specified,201,Seizure Disorders and Convulsions
G40.509,"Epileptic seizures related to external causes, not intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.804,"Other epilepsy, intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.812,"Lennox-Gastaut syndrome, not intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.844,"KCNQ2-related epilepsy, intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.901,"Epilepsy, unspecified, not intractable, with status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.909,"Epilepsy, unspecified, not intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.911,"Epilepsy, unspecified, intractable, with status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.919,"Epilepsy, unspecified, intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.A01,"Absence epileptic syndrome, not intractable, with status epilepticus",G40,Diseases of the nervous system,true,specified,201,Seizure Disorders and Convulsions
G40.A11,"Absence epileptic syndrome, intractable, with status epilepticus",G40,Diseases of the nervous system,true,specified,201,Seizure Disorders and Convulsions
G40.A19,"Absence epileptic syndrome, intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.B09,"Juvenile myoclonic epilepsy, not intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.B19,"Juvenile myoclonic epilepsy, intractable, without status epilepticus",G40,Diseases of the nervous system,true,unspecified,201,Seizure Disorders and Convulsions
G40.C01,"Lafora progressive myoclonus epilepsy, not intractable, with status epilepticus",G40,Diseases of the nervous system,true,specified,201,Seizure Disorders and Convulsions
G40.C11,"Lafora progressive myoclonus epilepsy, intractable, with status epilepticus",G40,Diseases of the nervous system,true,specified,201,Seizure Disorders and Convulsions
G43.011,"Migraine without aura, intractable, with status migrainosus",G43,Diseases of the nervous system,false,unspecified,,
G43.119,"Migraine with aura, intractable, without status migrainosus",G43,Diseases of the nervous system,false,unspecified,,
G43.411,"Hemiplegic migraine, intractable, with status migrainosus",G43,Diseases of the nervous system,false,specified,,
G43.519,"Persistent migraine aura without cerebral infarction, intractable, without status migrainosus",G43,Diseases of the nervous system,false,unspecified,,
G43.711,"Chronic migraine without aura, intractable, with status migrainosus",G43,Diseases of the nervous system,false,unspecified,,
G43.829,"Menstrual migraine, not intractable, without status migrainosus",G43,Diseases of the nervous system,false,unspecified,,
G43.831,"Menstrual migraine, intractable, with status migrainosus",G43,Diseases of the nervous system,false,specified,,
G43.839,"Menstrual migraine, intractable, without status migrainosus",G43,Diseases of the nervous system,false,unspecified,,
G43.901,"Migraine, unspecified, not intractable, with status migrainosus",G43,Diseases of the nervous system,false,unspecified,,
G43.909,"Migraine, unspecified, not intractable, without status migrainosus",G43,Diseases of the nervous system,false,unspecified,,
G43.D0,"Abdominal migraine, not intractable",G43,Diseases of the nervous system,false,specified,,
G43.D1,"Abdominal migraine, intractable",G43,Diseases of the nervous system,false,specified,,
G47.33,Obstructive sleep apnea (adult) (pediatric),G47,Diseases of the nervous system,true,specified,,
G62.1,Alcoholic polyneuropathy,G62,Diseases of the nervous system,true,specified,75,Polyneuropathy and Mononeuropathy
G62.89,Other specified polyneuropathies,G62,Diseases of the nervous system,true,specified,75,Polyneuropathy and Mononeuropathy
G62.9,"Polyneuropathy, unspecified",G62,Diseases of the nervous system,true,unspecified,75,Polyneuropathy and Mononeuropathy
G80.8,Other cerebral palsy,G80,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G81.01,Flaccid hemiplegia affecting right dominant side,G81,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G81.04,Flaccid hemiplegia affecting left nondominant side,G81,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G81.10,Spastic hemiplegia affecting unspecified side,G81,Diseases of the nervous system,true,unspecified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G81.13,Spastic hemiplegia affecting right nondominant side,G81,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G81.93,"Hemiplegia, unspecified affecting right nondominant side",G81,Diseases of the nervous system,true,unspecified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G82.20,"Paraplegia, unspecified",G82,Diseases of the nervous system,true,unspecified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G82.22,"Paraplegia, incomplete",G82,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G82.50,"Quadriplegia, unspecified",G82,Diseases of the nervous system,true,unspecified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G82.51,"Quadriplegia, C1-C4 complete",G82,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G82.53,"Quadriplegia, C5-C7 complete",G82,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.0,Diplegia of upper limbs,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.11,Monoplegia of lower limb affecting right dominant side,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.12,Monoplegia of lower limb affecting left dominant side,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.13,Monoplegia of lower limb affecting right nondominant side,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.14,Monoplegia of lower limb affecting left nondominant side,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.22,Monoplegia of upper limb affecting left dominant side,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.23,Monoplegia of upper limb affecting right nondominant side,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.30,"Monoplegia, unspecified affecting unspecified side",G83,Diseases of the nervous system,true,unspecified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.34,"Monoplegia, unspecified affecting left nondominant side",G83,Diseases of the nervous system,true,unspecified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.4,Cauda equina syndrome,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.5,Locked-in state,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.81,Brown-Sequard syndrome,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.82,Anterior cord syndrome,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.83,Posterior cord syndrome,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G83.89,Other specified paralytic syndromes,G83,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G89.11,Acute pain due to trauma,G89,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G89.12,Acute post-thoracotomy pain,G89,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G89.21,Chronic pain due to trauma,G89,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
G89.22,Chronic post-thoracotomy pain,G89,Diseases of the nervous system,true,specified,192,"Quadriplegia, Paraplegia and Other Paralytic Syndromes"
H52.10,"Myopia, unspecified eye",H52,Diseases of the eye and adnexa,false,unspecified,,
H52.12,"Myopia, left eye",H52,Diseases of the eye and adnexa,false,specified,,
H52.201,"Unspecified astigmatism, right eye",H52,Diseases of the eye and adnexa,false,unspecified,,
H52.202,"Unspecified astigmatism, left eye",H52,Diseases of the eye and adnexa,false,unspecified,,
H52.211,"Irregular astigmatism, right eye",H52,Diseases of the eye and adnexa,false,specified,,
